Policy_Area,Dataset,Variable,Year,Count,Tract,tractnumber,Neighborhood,GEOID,Row_ID,Date,Location,Los Angeles Incorporated Cities,DPW_CITY_BOUNDARIES_from_dmu2_xaer,la_county_tracts_from_jczq_z5ui,City Boundaries_from_22pk_kkuz,LA Neighborhoods_from_5ikr_59ci,layer_0_from_yr99_sgmi,layer_0_from_mgnu_zr5s,New Neighborhoods_from_s3dq_ztay,Neighborhoods_from_5jp5_kw3x,Neighborhoods_from_gw34_aa8i
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 1831.04, Los Angeles County, California",183104,Highland Park,1400000US06037183104,Total_Homeless_Population_2018_1400000US06037183104,01/01/2018 12:00:00 AM,"(34.120221, -118.172802)",76,305,393,76,105,120,118,121,118,118
Housing & Real Estate,Homelessness,Total Homeless Population,2018,63,"Census Tract 1152.02, Los Angeles County, California",115202,Northridge,1400000US06037115202,Total_Homeless_Population_2018_1400000US06037115202,01/01/2018 12:00:00 AM,"(34.2338575, -118.537507)",76,305,290,76,152,92,92,93,92,92
Housing & Real Estate,Homelessness,Unsheltered Population,2018,8,"Census Tract 1201.08, Los Angeles County, California",120108,Panorama City,1400000US06037120108,Unsheltered_Population_2018_1400000US06037120108,01/01/2018 12:00:00 AM,"(34.231779, -118.4563995)",76,305,2219,76,172,183,177,179,179,179
Housing & Real Estate,Homelessness,Total Homeless Population,2018,3,"Census Tract 1031.02, Los Angeles County, California",103102,Sunland,1400000US06037103102,Total_Homeless_Population_2018_1400000US06037103102,01/01/2018 12:00:00 AM,"(34.262834, -118.30683)",76,305,200,76,223,259,260,256,256,256
Housing & Real Estate,Homelessness,Total Homeless Population,2018,16,"Census Tract 1834.02, Los Angeles County, California",183402,Eagle Rock,1400000US06037183402,Total_Homeless_Population_2018_1400000US06037183402,01/01/2018 12:00:00 AM,"(34.125651, -118.216654)",76,305,1195,76,65,154,154,157,149,149
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1274, Los Angeles County, California",127400,Van Nuys,1400000US06037127400,Sheltered_Population_2017_1400000US06037127400,01/01/2017 12:00:00 AM,"(34.211219, -118.4794785)",76,305,2003,76,239,31,31,32,21,21
Housing & Real Estate,Homelessness,Total Homeless Population,2018,14,"Census Tract 1343.03, Los Angeles County, California",134303,West Hills,1400000US06037134303,Total_Homeless_Population_2018_1400000US06037134303,01/01/2018 12:00:00 AM,"(34.2027615, -118.614672)",76,305,1556,76,256,247,246,248,248,248
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 1231.04, Los Angeles County, California",123104,North Hollywood,1400000US06037123104,Unsheltered_Population_2018_1400000US06037123104,01/01/2018 12:00:00 AM,"(34.183057, -118.364585)",76,305,533,76,160,114,112,115,114,112
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1957.20, Los Angeles County, California",195720,Echo Park,1400000US06037195720,Sheltered_Population_2017_1400000US06037195720,01/01/2017 12:00:00 AM,"(34.0738655, -118.2637)",76,305,505,76,63,148,147,150,151,151
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 1916.20, Los Angeles County, California",191620,East Hollywood,1400000US06037191620,Sheltered_Population_2017_1400000US06037191620,01/01/2017 12:00:00 AM,"(34.0877515, -118.3035155)",76,305,682,76,67,234,219,233,233,233
